Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
NA,Campephilus guatemalensis,Pale-billed Woodpecker,"Carpintero Picoplata (Dos Golpes, Carpintero Chiricano)",NA,NA,NA
Falconidae,NA,NA,NA,NA,NA,NA
NA,Herpetotheres cachinnans,Laughing Falcon,Guaco,1,NA,1
NA,Micrastur semitorquatus,Collared Forest-Falcon,Halcón de Monte Collarejo,NA,NA,NA
NA,Caracara plancus,Crested Caracara,"Caracara Cargahuesos (Cargahuesos, Querque, Quebrantahuesos)",NA,NA,NA
NA,Milvago chimachima,Yellow-headed Caracara,Caracara Cabecigualdo,NA,NA,NA
NA,Falco sparverius,American Kestrel,"Cernícalo Americano (Klis-Klis, Camaleón)",NA,NA,NA
NA,Falco columbarius,Merlin,Esmerejón,NA,NA,NA
NA,Falco rufigularis,Bat Falcon,Halcón Cuelliblanco,NA,NA,NA
NA,Falco peregrinus,Peregrine Falcon,Halcón Peregrino,NA,NA,NA
Psittacidae,NA,NA,NA,NA,NA,NA
NA,Eupsittula canicularis,Orange-fronted Parakeet,"Perico Frentinaranja (Catano, Periquito, Zapoyol)",2,NA,2
NA,Brotogeris jugularis,Orange-chinned Parakeet,"Periquito Barbinaranja (Perico, Zapoyolito, Chimbolito, Catano)",16,NA,16
NA,Pyrilia haematotis,Brown-hooded Parrot,Loro Cabecipardo (Lora),NA,NA,NA
NA,Amazona albifrons,White-fronted Parrot,"Loro Frentiblanco (Cancan, Lora)",38,NA,38
NA,Amazona autumnalis,Red-lored Parrot,Loro Frentirrojo (Lora Jupa Roja),NA,NA,NA
NA,Amazona farinosa,Mealy Parrot,"Loro Verde (Lora Cabeza Negra, Lora Jupa Gris)",NA,NA,NA
NA,Amazona auropalliata,Yellow-naped Parrot,Lora de Nuca Amarilla (Lora Jupa Amarilla),20,NA,20
Pipridae,NA,NA,NA,NA,NA,NA
NA,Chiroxiphia linearis,Long-tailed Manakin,Saltarín Toledo (Toledo),12,NA,12
Tityridae,NA,NA,NA,NA,NA,NA
